LLT	PT_enc
inferior vena cava dilatation	PT_10357
inferior vena cava perforation	PT_10358
inferior vena cava stenosis	PT_10359
inferior vena cava syndrome	PT_10360
inferior vena caval occlusion	PT_10361
inferiority complex	PT_10362
infertile partner	PT_10363
infertility	PT_10364
infertility female	PT_10365
infertility male	PT_10366
infertility tests	PT_10367
infertility tests abnormal	PT_10368
infestation	PT_10369
infiltration anaesthesia	PT_10370
inflammation	PT_10371
inflammation masked	PT_10372
inflammation of lacrimal passage	PT_10373
inflammation of wound	PT_10374
inflammation scan	PT_10375
inflammatory bowel disease	PT_10376
inflammatory carcinoma of breast recurrent	PT_10377
inflammatory carcinoma of breast stage iii	PT_10378
inflammatory carcinoma of breast stage iv	PT_10379
inflammatory carcinoma of the breast	PT_10380
inflammatory marker decreased	PT_10381
inflammatory marker increased	PT_10382
inflammatory marker test	PT_10383
inflammatory myofibroblastic tumour	PT_10384
inflammatory pain	PT_10385
inflammatory pseudotumour	PT_10386
influenza	PT_10387
influenza a virus test	PT_10388
influenza a virus test positive	PT_10389
influenza b virus test	PT_10390
influenza b virus test positive	PT_10391
influenza c virus test	PT_10392
influenza c virus test positive	PT_10393
influenza immunisation	PT_10394
influenza like illness	PT_10395
influenza myocarditis	PT_10396
influenza virus test	PT_10397
influenza virus test negative	PT_10398
influenza virus test positive	PT_10399
infrapatellar fat pad inflammation	PT_10400
infrequent bowel movements	PT_10401
infusion	PT_10402
infusion related hypersensitivity reaction	PT_10403
infusion related reaction	PT_10404
infusion site abscess	PT_10405
infusion site anaesthesia	PT_10406
infusion site atrophy	PT_10407
infusion site bruising	PT_10408
infusion site calcification	PT_10409
infusion site cellulitis	PT_10410
infusion site coldness	PT_10411
infusion site cyst	PT_10412
infusion site dermatitis	PT_10413
infusion site discharge	PT_10414
infusion site discolouration	PT_10415
infusion site discomfort	PT_10416
infusion site dryness	PT_10417
infusion site dysaesthesia	PT_10418
infusion site eczema	PT_10419
infusion site erosion	PT_10420
infusion site erythema	PT_10421
infusion site eschar	PT_10422
infusion site exfoliation	PT_10423
infusion site extravasation	PT_10424
infusion site fibrosis	PT_10425
infusion site granuloma	PT_10426
infusion site haematoma	PT_10427
infusion site haemorrhage	PT_10428
infusion site hyperaesthesia	PT_10429
infusion site hypersensitivity	PT_10430
infusion site hypertrichosis	PT_10431
infusion site hypertrophy	PT_10432
infusion site hypoaesthesia	PT_10433
infusion site induration	PT_10434
infusion site infection	PT_10435
infusion site inflammation	PT_10436
infusion site injury	PT_10437
infusion site irritation	PT_10438
infusion site ischaemia	PT_10439
infusion site joint discomfort	PT_10440
infusion site joint effusion	PT_10441
infusion site joint erythema	PT_10442
infusion site joint infection	PT_10443
infusion site joint movement impairment	PT_10444
infusion site joint pain	PT_10445
infusion site joint swelling	PT_10446
infusion site joint warmth	PT_10447
infusion site laceration	PT_10448
infusion site lymphadenopathy	PT_10449
infusion site macule	PT_10450
infusion site mass	PT_10451
infusion site mobility decreased	PT_10452
infusion site necrosis	PT_10453
infusion site nerve damage	PT_10454
infusion site nodule	PT_10455
infusion site oedema	PT_10456
infusion site pain	PT_10457
infusion site pallor	PT_10458
infusion site papule	PT_10459
infusion site paraesthesia	PT_10460
infusion site phlebitis	PT_10461
infusion site photosensitivity reaction	PT_10462
infusion site plaque	PT_10463
infusion site pruritus	PT_10464
infusion site pustule	PT_10465
infusion site rash	PT_10466
infusion site reaction	PT_10467
infusion site recall reaction	PT_10468
infusion site scab	PT_10469
infusion site scar	PT_10470
infusion site streaking	PT_10471
infusion site swelling	PT_10472
infusion site thrombosis	PT_10473
infusion site ulcer	PT_10474
infusion site urticaria	PT_10475
infusion site vasculitis	PT_10476
infusion site vesicles	PT_10477
infusion site warmth	PT_10478
ingrowing nail	PT_10479
ingrown hair	PT_10480
inguinal hernia	PT_10481
inguinal hernia gangrenous	PT_10482
inguinal hernia perforation	PT_10483
inguinal hernia repair	PT_10484
inguinal hernia strangulated	PT_10485
inguinal hernia, obstructive	PT_10486
inguinal mass	PT_10487
inhalation therapy	PT_10488
inhibin a increased	PT_10489
inhibin b	PT_10490
inhibin b decreased	PT_10491
inhibin b increased	PT_10492
inhibiting antibodies	PT_10493
inhibiting antibodies positive	PT_10494
inhibitory drug interaction	PT_10495
iniencephaly	PT_10496
initial insomnia	PT_10497
injectable contraception	PT_10498
injected limb mobility decreased	PT_10499
injection	PT_10500
injection related reaction	PT_10501
injection site abscess	PT_10502
injection site abscess sterile	PT_10503
injection site alopecia	PT_10504
injection site anaesthesia	PT_10505
injection site atrophy	PT_10506
injection site bruising	PT_10507
injection site calcification	PT_10508
injection site cellulitis	PT_10509
injection site coldness	PT_10510
injection site cyst	PT_10511
injection site deformation	PT_10512
injection site dermatitis	PT_10513
injection site discharge	PT_10514
injection site discolouration	PT_10515
injection site discomfort	PT_10516
injection site dryness	PT_10517
injection site dysaesthesia	PT_10518
injection site eczema	PT_10519
injection site erosion	PT_10520
injection site erythema	PT_10521
injection site exfoliation	PT_10522
injection site extravasation	PT_10523
injection site fibrosis	PT_10524
injection site foreign body sensation in eye	PT_10525
injection site granuloma	PT_10526
injection site haematoma	PT_10527
injection site haemorrhage	PT_10528
injection site hyperaesthesia	PT_10529
injection site hypersensitivity	PT_10530
injection site hypertrichosis	PT_10531
injection site hypertrophy	PT_10532
injection site hypoaesthesia	PT_10533
injection site indentation	PT_10534
injection site induration	PT_10535
injection site infection	PT_10536
injection site inflammation	PT_10537
injection site injury	PT_10538
injection site irritation	PT_10539
injection site ischaemia	PT_10540
injection site joint discomfort	PT_10541
injection site joint effusion	PT_10542
injection site joint erythema	PT_10543
injection site joint redness	PT_10543
injection site joint infection	PT_10544
injection site joint inflammation	PT_10545
injection site joint movement impairment	PT_10546
injection site joint pain	PT_10547
injection site joint swelling	PT_10548
injection site joint warmth	PT_10549
injection site laceration	PT_10550
injection site lymphadenopathy	PT_10551
injection site macule	PT_10552
injection site mass	PT_10553
injection site movement impairment	PT_10554
injection site muscle atrophy	PT_10555
injection site muscle weakness	PT_10556
injection site necrosis	PT_10557
injection site nerve damage	PT_10558
injection site nodule	PT_10559
injection site oedema	PT_10560
injection site pain	PT_10561
injection site pallor	PT_10562
injection site panniculitis	PT_10563
injection site papule	PT_10564
injection site paraesthesia	PT_10565
injection site phlebitis	PT_10566
injection site photosensitivity reaction	PT_10567
injection site plaque	PT_10568
injection site pruritus	PT_10569
injection site pustule	PT_10570
injection site rash	PT_10571
injection site reaction	PT_10572
injection site recall reaction	PT_10573
injection site scab	PT_10574
injection site scar	PT_10575
injection site streaking	PT_10576
injection site swelling	PT_10577
injection site telangiectasia	PT_10578
injection site thrombosis	PT_10579
injection site ulcer	PT_10580
injection site urticaria	PT_10581
injection site vasculitis	PT_10582
injection site vesicles	PT_10583
injection site warmth	PT_10584
injury	PT_10585
injury associated with device	PT_10586
injury corneal	PT_10587
injury of conjunctiva	PT_10588
injury to brachial plexus due to birth trauma	PT_10589
inner ear disorder	PT_10590
inner ear infarction	PT_10591
inner ear inflammation	PT_10592
inner ear operation	PT_10593
insomnia related to another mental condition	PT_10594
insomnia	PT_10594
inspiratory capacity abnormal	PT_10595
inspiratory capacity decreased	PT_10596
inspiratory capacity increased	PT_10597
instillation site atrophy	PT_10598
instillation site bruise	PT_10599
instillation site burn	PT_10600
instillation site coldness	PT_10601
instillation site complication	PT_10602
instillation site discharge	PT_10603
instillation site discolouration	PT_10604
instillation site discomfort	PT_10605
instillation site dryness	PT_10606
instillation site erosion	PT_10607
instillation site erythema	PT_10608
instillation site exfoliation	PT_10609
instillation site foreign body sensation	PT_10610
instillation site haemorrhage	PT_10611
instillation site hyperaesthesia	PT_10612
instillation site hypersensitivity	PT_10613
instillation site hypoaesthesia	PT_10614
instillation site infection	PT_10615
instillation site inflammation	PT_10616
instillation site irritation	PT_10617
instillation site lacrimation	PT_10618
instillation site necrosis	PT_10619
instillation site nodule	PT_10620
instillation site odour	PT_10621
instillation site oedema	PT_10622
instillation site pain	PT_10623
instillation site paraesthesia	PT_10624
instillation site pruritus	PT_10625
instillation site pustules	PT_10626
instillation site rash	PT_10627
instillation site reaction	PT_10628
instillation site scab	PT_10629
instillation site swelling	PT_10630
instillation site thrombosis	PT_10631
instillation site ulcer	PT_10632
instillation site urticaria	PT_10633
instillation site vesicles	PT_10634
instillation site warmth	PT_10635
insulin autoimmune syndrome	PT_10636
insulin c-peptide	PT_10637
insulin c-peptide abnormal	PT_10638
insulin c-peptide decreased	PT_10639
insulin c-peptide increased	PT_10640
insulin resistance	PT_10641
insulin resistance test	PT_10642
insulin resistant diabetes	PT_10643
insulin shock therapy	PT_10644
insulin sparing effect	PT_10645
insulin therapy	PT_10646
insulin tolerance test	PT_10647
insulin tolerance test abnormal	PT_10648
insulin-like growth factor	PT_10649
insulin-like growth factor abnormal	PT_10650
insulin-like growth factor decreased	PT_10651
insulin-like growth factor increased	PT_10652
insulin-requiring type 2 diabetes mellitus	PT_10653
insulinoma	PT_10654
insurance issue	PT_10655
moderate mental retardation	PT_10656
profound mental retardation	PT_10656
intellectual disability	PT_10656
mental retardation	PT_10656
mild mental retardation	PT_10656
severe mental retardation	PT_10656
intellectualisation	PT_10657
intelligence increased	PT_10658
intelligence test	PT_10659
intelligence test abnormal	PT_10660
intensive care	PT_10661
intensive care unit acquired weakness	PT_10662
critical illness polyneuropathy	PT_10662
critical illness myopathy	PT_10662
intensive care unit delirium	PT_10663
intention tremor	PT_10664
intentional device misuse	PT_10665
device misuse	PT_10665
intentional device use issue	PT_10666
intentional dose omission	PT_10667
intentional medical device removal by patient	PT_10668
intentional misuse of drug delivery system	PT_10669
intentional overdose	PT_10670
intentional product misuse	PT_10671
intentional drug misuse	PT_10671
intentional product misuse to child	PT_10672
intentional product use issue	PT_10673
intentional removal of drug delivery system by patient	PT_10674
intentional self-injury	PT_10675
intentional underdose	PT_10676
intercapillary glomerulosclerosis	PT_10677
intercepted accidental exposure to product by child	PT_10678
intercepted medication error	PT_10679
intercepted drug administration error	PT_10680
intercepted product administration error	PT_10680
intercepted drug dispensing error	PT_10681
intercepted product dispensing error	PT_10681
intercepted product monitoring error	PT_10682
intercepted product preparation error	PT_10683
intercepted drug prescribing error	PT_10684
intercepted product prescribing error	PT_10684
intercepted product selection error	PT_10685
intercepted product storage error	PT_10686
intercepted wrong patient selected	PT_10687
interchange of vaccine products	PT_10688
intercostal neuralgia	PT_10689
interferon alpha level	PT_10690
interferon gamma decreased	PT_10691
interferon gamma level	PT_10692
interferon gamma level increased	PT_10693
interferon gamma receptor deficiency	PT_10694
interferon gamma release assay	PT_10695
interferon gamma release assay positive	PT_10696
interleukin level	PT_10697
interleukin level decreased	PT_10698
interleukin level increased	PT_10699
interleukin-2 receptor increased	PT_10700
intermediate density lipoprotein increased	PT_10701
intermediate syndrome	PT_10702
intermenstrual bleeding	PT_10703
metrorrhagia	PT_10703
intermittent claudication	PT_10704
intermittent explosive disorder	PT_10705
intermittent positive pressure breathing	PT_10706
internal capsule infarction	PT_10707
internal carotid artery kinking	PT_10708
internal carotid artery deformity	PT_10708
internal device exposed	PT_10709
osteosynthesis	PT_10710
internal fixation of fracture	PT_10710
internal fixation of spine	PT_10711
internal haemorrhage	PT_10712
internal hernia	PT_10713
internal injury	PT_10714
internal limiting membrane peeling	PT_10715
international normalised ratio	PT_10716
international normalised ratio abnormal	PT_10717
international normalised ratio decreased	PT_10718
international normalised ratio fluctuation	PT_10719
international normalised ratio increased	PT_10720
international normalised ratio normal	PT_10721
interruption of aortic arch	PT_10722
intersection syndrome	PT_10723
interspinous osteoarthritis	PT_10724
interstitial granulomatous dermatitis	PT_10725
interstitial lung abnormality	PT_10726
interstitial lung disease	PT_10727
intertrigo	PT_10728
interventional procedure	PT_10729
interventricular septum rupture	PT_10730
intervertebral disc annular tear	PT_10731
intervertebral disc calcification	PT_10732
intervertebral disc compression	PT_10733
intervertebral disc degeneration	PT_10734
intervertebral disc disorder	PT_10735
intervertebral disc displacement	PT_10736
intervertebral disc injury	PT_10737
intervertebral disc operation	PT_10738
intervertebral disc protrusion	PT_10739
intervertebral disc space narrowing	PT_10740
intervertebral discitis	PT_10741
intestinal adenocarcinoma	PT_10742
intestinal anastomosis	PT_10743
intestinal anastomosis complication	PT_10744
intestinal angina	PT_10745
small bowel angioedema	PT_10746
intestinal angioedema	PT_10746
intestinal angioma	PT_10747
intestinal atony	PT_10748
intestinal atresia	PT_10749
ileal atresia	PT_10749
intestinal barrier dysfunction	PT_10750
intestinal calcification	PT_10751
intestinal congestion	PT_10752
intestinal cyst	PT_10753
intestinal diaphragm disease	PT_10754
intestinal dilatation	PT_10755
intestinal fibrosis	PT_10756
intestinal fistula	PT_10757
intestinal fistula infection	PT_10758
intestinal fistula repair	PT_10759
intestinal gangrene	PT_10760
intestinal haematoma	PT_10761
intestinal haemorrhage	PT_10762
intestinal infarction	PT_10763
intestinal intraepithelial lymphocytes increased	PT_10764
intestinal ischaemia	PT_10765
visceral arterial ischaemia	PT_10765
intestinal lipomatosis	PT_10766
intestinal malrotation	PT_10767
intestinal malrotation repair	PT_10768
intestinal mass	PT_10769
intestinal metaplasia	PT_10770
intestinal metastasis	PT_10771
metastases to large intestine	PT_10771
metastases to small intestine	PT_10771
intestinal mucosal atrophy	PT_10772
intestinal mucosal hypertrophy	PT_10773
intestinal mucosal tear	PT_10774
intestinal neuronal dysplasia	PT_10775
intestinal obstruction	PT_10776
intestinal operation	PT_10777
intestinal perforation	PT_10778
intestinal polyp	PT_10779
intestinal polypectomy	PT_10780
intestinal prolapse	PT_10781
colonic pseudo-obstruction	PT_10782
intestinal pseudo-obstruction	PT_10782
intestinal resection	PT_10783
intestinal sepsis	PT_10784
intestinal smooth muscle hypertrophy	PT_10785
intestinal steatosis	PT_10786
intestinal stenosis	PT_10787
intestinal stent insertion	PT_10788
intestinal stent removal	PT_10789
intestinal strangulation	PT_10790
intestinal t-cell lymphoma recurrent	PT_10791
intestinal t-cell lymphoma refractory	PT_10792
intestinal transit time	PT_10793
intestinal transit time abnormal	PT_10794
intestinal transit time decreased	PT_10795
intestinal transit time increased	PT_10796
intestinal transplant	PT_10797
intestinal transposition	PT_10798
intestinal tuberculosis	PT_10799
intestinal ulcer	PT_10800
intestinal ulcer perforation	PT_10801
intestinal varices	PT_10802
intestinal varices haemorrhage	PT_10803
intestinal vascular disorder	PT_10804
intestinal villi atrophy	PT_10805
intestine transplant rejection	PT_10806
intoxication by breast feeding	PT_10807
intra-abdominal calcification	PT_10808
intra-abdominal fluid collection	PT_10809
localised intraabdominal fluid collection	PT_10809
intra-abdominal haemangioma	PT_10810
intra-abdominal haematoma	PT_10811
intra-abdominal haemorrhage	PT_10812
intra-abdominal organ avulsion	PT_10813
intra-abdominal pressure increased	PT_10814
intra-abdominal vascular injury	PT_10815
intra-aortic balloon placement	PT_10816
intra-cerebral aneurysm operation	PT_10817
intra-cranial lesion excision	PT_10818
intra-ocular injection	PT_10819
intra-ocular injection complication	PT_10820
intra-uterine contraceptive device insertion	PT_10821
intra-uterine contraceptive device removal	PT_10822
intracardiac mass	PT_10823
intracardiac pressure increased	PT_10824
intracerebral haematoma evacuation	PT_10825
intracranial aneurysm	PT_10826
intracranial arterial fenestration	PT_10827
intracranial artery dissection	PT_10828
cerebral calcification	PT_10829
cerebellar calcification	PT_10829
intracranial germ cell tumour	PT_10830
intracranial haemangioma	PT_10831
intracranial haematoma	PT_10832
intracranial haemorrhage neonatal	PT_10833
intracranial hypotension	PT_10834
intracranial infection	PT_10835
intracranial lipoma	PT_10836
brain mass	PT_10837
intracranial mass	PT_10837
intracranial meningioma malignant	PT_10838
intracranial pressure increased	PT_10839
intracranial tumour haemorrhage	PT_10840
intradialytic parenteral nutrition	PT_10841
intraductal papillary breast neoplasm	PT_10842
intraductal papillary mucinous neoplasm	PT_10843
intraductal papillary-mucinous carcinoma of pancreas	PT_10844
intraductal papilloma of breast	PT_10845
intraductal proliferative breast lesion	PT_10846
intramammary lymph node	PT_10847
intramedullary rod insertion	PT_10848
intramyelinic oedema	PT_10849
intranasal hypoaesthesia	PT_10850
intranasal paraesthesia	PT_10851
intraneural cyst	PT_10852
intraocular haematoma	PT_10853
intraocular lens implant	PT_10854
intraocular lens repositioning	PT_10855
intraocular pressure decreased	PT_10856
intraocular pressure fluctuation	PT_10857
intraocular pressure increased	PT_10858
intraocular pressure test	PT_10859
intraocular pressure test abnormal	PT_10860
intraoperative care	PT_10861
intraoperative cerebral artery occlusion	PT_10862
intraoperative neurophysiologic monitoring	PT_10863
intraosseous access placement	PT_10864
intraosseous angioma	PT_10865
intrapartum haemorrhage	PT_10866
intrapericardial thrombosis	PT_10867
intrapulmonary lymphadenopathy	PT_10868
intrathecal pump insertion	PT_10869
intratumoural aneurysm	PT_10870
intratumoural haematoma	PT_10871
intrauterine contraception	PT_10872
intra-uterine contraceptive device	PT_10872
intrauterine infection	PT_10873
intravascular gas	PT_10874
intravascular haemolysis	PT_10875
intravascular papillary endothelial hyperplasia	PT_10876
intravenous leiomyomatosis	PT_10877
intraventricular haemorrhage	PT_10878
intraventricular haemorrhage neonatal	PT_10879
intravitreal implant	PT_10880
intrinsic factor antibody	PT_10881
intrinsic factor antibody abnormal	PT_10882
intrinsic factor antibody positive	PT_10883
intrinsic factor deficiency	PT_10884
intrusive thoughts	PT_10885
intussusception	PT_10886
inulin renal clearance decreased	PT_10887
invasive breast carcinoma	PT_10888
invasive ductal breast carcinoma	PT_10889
invasive lobular breast carcinoma	PT_10890
invasive papillary breast carcinoma	PT_10891
investigation	PT_10892
investigation abnormal	PT_10893
investigation noncompliance	PT_10894
involuntary commitment	PT_10895
iodine allergy	PT_10896
iodine deficiency	PT_10897
iodine overload	PT_10898
iodine uptake abnormal	PT_10899
iodine uptake decreased	PT_10900
iodine uptake increased	PT_10901
ipex syndrome	PT_10902
iridectomy	PT_10903
iridocele	PT_10904
iridocorneal endothelial syndrome	PT_10905
iridocyclitis	PT_10906
iridodialysis	PT_10907
iridodonesis	PT_10908
iridoplegia	PT_10909
iridoschisis	PT_10910
iridotomy	PT_10911
iris adhesions	PT_10912
iris atrophy	PT_10913
iris bombe	PT_10914
iris coloboma	PT_10915
iris convex	PT_10916
iris cyst	PT_10917
iris discolouration	PT_10918
iris disorder	PT_10919
iris exfoliation	PT_10920
iris haemorrhage	PT_10921
iris hamartoma	PT_10922
iris hyperpigmentation	PT_10923
iris hypopigmentation	PT_10924
iris incarceration	PT_10925
iris injury	PT_10926
iris melanoma	PT_10927
iris neoplasm	PT_10928
iris neovascularisation	PT_10929
iris operation	PT_10930
iris tear	PT_10931
iris transillumination defect	PT_10932
iris vascular disorder	PT_10933
iritis	PT_10934
irlen syndrome	PT_10935
iron binding capacity total	PT_10936
iron binding capacity total abnormal	PT_10937
iron binding capacity total decreased	PT_10938
iron binding capacity total increased	PT_10939
iron binding capacity unsaturated	PT_10940
iron binding capacity unsaturated decreased	PT_10941
iron binding capacity unsaturated increased	PT_10942
hyposideraemia	PT_10943
iron deficiency	PT_10943
iron deficiency anaemia	PT_10944
iron metabolism disorder	PT_10945
iron overload	PT_10946
irregular breathing	PT_10947
irregular sleep phase	PT_10948
irregular sleep wake rhythm disorder	PT_10949
sleep phase rhythm disturbance	PT_10949
irrigation therapy	PT_10950
irritability	PT_10951
irritability postvaccinal	PT_10952
irritable bowel syndrome	PT_10953
irvan syndrome	PT_10954
ischaemia	PT_10955
ischaemic cardiomyopathy	PT_10956
ischaemic cerebral infarction	PT_10957
ischaemic cholecystitis	PT_10958
ischaemic contracture of the left ventricle	PT_10959
ischaemic demyelination	PT_10960
ischaemic enteritis	PT_10961
ischaemic gastritis	PT_10962
ischaemic heart disease prophylaxis	PT_10963
ischaemic hepatitis	PT_10964
ischaemic limb pain	PT_10965
ischaemic mitral regurgitation	PT_10966
ischaemic nephropathy	PT_10967
ischaemic neuropathy	PT_10968
ischaemic pancreatitis	PT_10969
ischaemic skin ulcer	PT_10970
ischaemic ulcer	PT_10970
ischaemic stroke	PT_10971
ischiatic hernia	PT_10972
isocitrate dehydrogenase gene mutation	PT_10973
isodicentric chromosome 15 syndrome	PT_10974
isoimmune haemolytic disease	PT_10975
isosporiasis	PT_10976
isosthenuria	PT_10977
itching scar	PT_10978
ivth nerve disorder	PT_10979
ivth nerve injury	PT_10980
ivth nerve paralysis	PT_10981
ivth nerve paresis	PT_10982
jamais vu	PT_10983
jamestown canyon encephalitis	PT_10984
jamestown canyon virus infection	PT_10985
janeway lesion	PT_10986
janus kinase 2 mutation	PT_10987
japanese spotted fever	PT_10988
jarisch-herxheimer reaction	PT_10989
jaundice	PT_10990
jaundice acholuric	PT_10991
jaundice extrahepatic obstructive	PT_10992
jaundice cholestatic	PT_10992
jaundice hepatocellular	PT_10993
jaundice neonatal	PT_10994
jaw clicking	PT_10995
jaw cyst	PT_10996
jaw disorder	PT_10997
jaw fistula	PT_10998
jaw fracture	PT_10999
jaw lesion excision	PT_11000
jaw operation	PT_11001
jc polyomavirus test	PT_11002
jc virus test	PT_11002
jc polyomavirus test negative	PT_11003
jc polyomavirus test positive	PT_11004
jc virus test positive	PT_11004
jc virus csf test positive	PT_11005
jc virus granule cell neuronopathy	PT_11006
jc virus infection	PT_11007
jealous delusion	PT_11008
jeavons syndrome	PT_11009
jejunal gangrene	PT_11010
jejunal operation	PT_11011
jejunal perforation	PT_11012
jejunal stenosis	PT_11013
jejunal ulcer	PT_11014
jejunal ulcer perforation	PT_11015
jejunectomy	PT_11016
jejunostomy	PT_11017
jejunostomy closure	PT_11018
jejunostomy refashioning	PT_11019
jessner's lymphocytic infiltration	PT_11020
job change	PT_11021
job dissatisfaction	PT_11022
joint abscess	PT_11023
joint adhesion	PT_11024
joint ankylosis	PT_11025
joint arthroplasty	PT_11026
joint capsule rupture	PT_11027
joint contracture	PT_11028
joint debridement	PT_11029
joint deformity	PT_11030
joint deposit	PT_11031
joint destruction	PT_11032
joint dislocation	PT_11033
joint dislocation pathological	PT_11034
joint dislocation postoperative	PT_11035
joint dislocation reduction	PT_11036
joint effusion	PT_11037
joint fistula	PT_11038
joint fluid drainage	PT_11039
joint hyperextension	PT_11040
joint impingement	PT_11041
joint injection	PT_11042
joint injury	PT_11043
joint instability	PT_11044
joint irrigation	PT_11045
joint laxity	PT_11046
joint lock	PT_11047
joint manipulation	PT_11048
joint microhaemorrhage	PT_11049
joint neoplasm	PT_11050
joint noise	PT_11051
joint crepitation	PT_11051
joint pannus	PT_11052
joint position sense decreased	PT_11053
joint prosthesis user	PT_11054
joint range of motion decreased	PT_11055
joint range of motion measurement	PT_11056
joint resurfacing surgery	PT_11057
joint space narrowing	PT_11058
joint stabilisation	PT_11059
joint stiffness	PT_11060
joint surgery	PT_11061
joint swelling	PT_11062
joint tuberculosis	PT_11063
joint vibration	PT_11064
joint warmth	PT_11065
joubert syndrome	PT_11066
judgement impaired	PT_11067
jugular vein distension	PT_11068
jugular vein embolism	PT_11069
jugular vein haemorrhage	PT_11070
jugular vein occlusion	PT_11071
jugular vein thrombosis	PT_11072
junctional ectopic tachycardia	PT_11073
juvenile absence epilepsy	PT_11074
juvenile angiofibroma	PT_11075
juvenile chronic myelomonocytic leukaemia	PT_11076
juvenile idiopathic arthritis	PT_11077
juvenile melanoma benign	PT_11078
juvenile myoclonic epilepsy	PT_11079
juvenile psoriatic arthritis	PT_11080
juvenile spondyloarthritis	PT_11081
k-ras gene mutation	PT_11082
kabuki make-up syndrome	PT_11083
kaposi sarcoma inflammatory cytokine syndrome	PT_11084
kaposi's sarcoma	PT_11085
kaposi's sarcoma aids related	PT_11086
kaposi's sarcoma classical type	PT_11087
kaposiform haemangioendothelioma	PT_11088
karnofsky scale	PT_11089
karnofsky scale abnormal	PT_11090
karnofsky scale worsened	PT_11091
karyotype analysis abnormal	PT_11092
kawasaki's disease	PT_11093
kayser-fleischer ring	PT_11094
kearns-sayre syndrome	PT_11095
kell blood group positive	PT_11096
keloid scar	PT_11097
keratectomy	PT_11098
keratic precipitates	PT_11099
keratinising squamous cell carcinoma of nasopharynx	PT_11100
keratitis	PT_11101
keratitis bacterial	PT_11102
keratitis fungal	PT_11103
keratitis interstitial	PT_11104
keratitis sclerosing	PT_11105
keratitis viral	PT_11106
keratitis-ichthyosis-deafness syndrome	PT_11107
keratoacanthoma	PT_11108
keratoconus	PT_11109
keratoderma blenorrhagica	PT_11110
keratolysis exfoliativa acquired	PT_11111
keratomalacia	PT_11112
keratomileusis	PT_11113
keratopathy	PT_11114
keratoplasty	PT_11115
keratorhexis	PT_11116
keratosis follicular	PT_11117
keratosis obturans	PT_11118
keratosis pilaris	PT_11119
keratotomy	PT_11120
keratouveitis	PT_11121
kerion	PT_11122
kernicterus	PT_11123
kernig's sign	PT_11124
ketoacidosis	PT_11125
ketogenic diet	PT_11126
ketonuria	PT_11127
ketosis	PT_11128
ketosis-prone diabetes mellitus	PT_11129
kidney ablation	PT_11130
kidney anastomosis	PT_11131
kidney congestion	PT_11132
renal venous congestion	PT_11132
kidney contusion	PT_11133
kidney duplex	PT_11134
kidney enlargement	PT_11135
kidney fibrosis	PT_11136
kidney infection	PT_11137
kidney injury molecule-1	PT_11138
kidney malformation	PT_11139
kidney malrotation	PT_11140
kidney palpable	PT_11141
kidney perforation	PT_11142
kidney rupture	PT_11143
kidney small	PT_11144
kidney transplant rejection	PT_11145
kidney transplant rupture	PT_11146
kinaesthetic sense disorder	PT_11147
kinematic imbalances due to suboccipital strain	PT_11148
kinesiophobia	PT_11149
kinesitherapy	PT_11150
kl-6	PT_11151
kl-6 increased	PT_11152
klebsiella bacteraemia	PT_11153
klebsiella infection	PT_11154
klebsiella sepsis	PT_11155
klebsiella test positive	PT_11156
klebsiella urinary tract infection	PT_11157
kleefstra syndrome	PT_11158
kleptomania	PT_11159
klinefelter's syndrome	PT_11160
klippel-feil syndrome	PT_11161
klippel-trenaunay syndrome	PT_11162
kluver-bucy syndrome	PT_11163
kmt2a gene mutation	PT_11164
knee arthroplasty	PT_11165
knee deformity	PT_11166
knee impingement syndrome	PT_11167
knee operation	PT_11168
kniest dysplasia	PT_11169
knuckle pads	PT_11170
koebner phenomenon	PT_11171
koeppe nodules	PT_11172
kohler's disease	PT_11173
koilonychia	PT_11174
korsakoff's syndrome	PT_11175
kounis syndrome	PT_11176
krabbe's disease	PT_11177
kussmaul respiration	PT_11178
kwashiorkor	PT_11179
kyphoscoliosis	PT_11180
kyphoscoliotic heart disease	PT_11181
kyphosis	PT_11182
kyphosis congenital	PT_11183
kyphosis postoperative	PT_11184
labelled drug-disease interaction issue	PT_11185
labelled drug-disease interaction medication error	PT_11186
labelled drug-drug interaction issue	PT_11187
labelled drug-drug interaction medication error	PT_11188
labelled drug-food interaction issue	PT_11189
labelled drug-food interaction medication error	PT_11190
labelled drug-genetic interaction medication error	PT_11191
labia enlarged	PT_11192
labile blood pressure	PT_11193
labile hypertension	PT_11194
laboratory test	PT_11195
laboratory test abnormal	PT_11196
laboratory test interference	PT_11197
laboratory test normal	PT_11198
labour augmentation	PT_11199
labour complication	PT_11200
labour induction	PT_11201
labour pain	PT_11202
labour stimulation	PT_11203
labral reconstruction	PT_11204
labrune syndrome	PT_11205
labyrinthectomy	PT_11206
labyrinthine fistula	PT_11207
labyrinthitis	PT_11208
lack of administration site rotation	PT_11209
lack of application site rotation	PT_11210
lack of concomitant drug effect	PT_11211
lack of empathy	PT_11212
lack of infusion site rotation	PT_11213
lack of injection site rotation	PT_11214
lack of prenatal care	PT_11215
lack of satiety	PT_11216
lack of spontaneous speech	PT_11217
lacrimal atrophy	PT_11218
lacrimal cyst	PT_11219
lacrimal disorder	PT_11220
lacrimal duct neoplasm	PT_11221
lacrimal duct pigmentation	PT_11222
